activity_id,competitor_name,activity_type,start_date,end_date,description
9f8771a2-ad0a-4eee-a387-aa0db7f2e789,Perez-Scott,Marketing Campaign,2024-09-16,2024-11-11,New York
40b4afc7-0e2a-4c98-a909-0e5303368856,Berger and Sons,Product Launch,2024-09-29,2024-11-09,Madrid
73f2ac59-f7d7-408d-b02a-975a50f705f3,"Boyd, Torres and Bruce",Sales Event,2024-09-21,2024-11-13,Madrid
d0793f0f-ba07-4253-a95a-b8248f7feac1,Rollins Ltd,Marketing Campaign,2024-10-18,2024-12-03,Madrid
0321fcc3-1545-47dc-8a40-d43a86cf7809,Johnston LLC,Conference,2024-10-01,2024-11-30,New York
571d401b-6a0e-4a14-9abe-340bb27b419a,Gonzalez and Sons,Conference,2024-10-13,2024-12-06,London
4d586f01-aec1-4c2d-89bb-2136293efc52,Hughes-Delgado,Sales Event,2024-09-19,2024-11-13,Madrid
d46df6b7-2b89-482c-8cd6-9e78e4be1779,"Jones, Cortez and Rodriguez",Sales Event,2024-10-11,2024-11-12,New York
887313a9-b012-4c22-b615-ad9d806dce25,Robinson-Barnes,Marketing Campaign,2024-10-31,2024-12-04,Rome
db4d2161-9172-4a08-beda-fc1e3b34e67c,Richardson and Sons,Sales Event,2024-10-23,2024-11-15,Madrid
ccc27d14-526d-452a-9b53-f5a69a073821,"Reed, Shelton and Nunez",Sales Event,2024-09-30,2024-11-24,New York
6616772b-7b23-4e10-9dc2-985428e730d8,Richardson-Spencer,Conference,2024-09-18,2024-11-28,Rome
5102fc88-e2ef-40e9-a076-9072ba1146d5,Bond-Ellis,Marketing Campaign,2024-10-04,2024-12-08,Madrid
00d83a79-f787-4ef3-9122-e17dc39d8d14,Taylor-Ball,Product Launch,2024-09-25,2024-12-01,London
98761cda-ff5a-4980-8ec7-a306b89afcea,"Brooks, Cox and Williams",Product Launch,2024-09-29,2024-12-03,Madrid
9238d832-6f46-4c0c-a4d3-07a6ef3dd571,"Turner, Garcia and Gomez",Conference,2024-10-13,2024-11-19,New York
00dd14c1-7952-41ee-9c47-a6864b642d44,Lopez Group,Marketing Campaign,2024-11-07,2024-11-16,Rome
baea106b-056a-461c-a454-2045ff4adb4f,Levy-Beck,Marketing Campaign,2024-09-22,2024-11-24,London
b78bae26-145f-41ba-8472-e6980efc18f3,Thomas LLC,Product Launch,2024-09-29,2024-11-18,London
ba4f4fc7-600f-4319-8501-ca8b1fc49701,Rodriguez-Buchanan,Product Launch,2024-10-14,2024-11-29,Rome
4849e824-f2c6-4d98-b921-8f2698d02858,Guerra-Davis,Conference,2024-10-19,2024-11-23,Paris
92e9bcd4-dcdc-41e3-895a-4aad8032c959,Andrews-Kramer,Marketing Campaign,2024-10-29,2024-11-26,Paris
6c0f44e2-22b5-4541-b545-733acc549586,"Gray, Rowe and Swanson",Sales Event,2024-11-01,2024-12-08,Madrid
c966b8e4-bdb8-400f-b621-f2be97b5e742,West-Warren,Marketing Campaign,2024-11-06,2024-11-24,Rome
6adca443-b137-4584-8c87-6cd74f2c6bfd,Keller-Paul,Sales Event,2024-10-15,2024-11-19,London
