fulfillment_id,order_id,fulfillment_date,fulfillment_method,shipping_carrier,tracking_number,estimated_delivery_date,actual_delivery_date
c4998edc-ecdc-4f9c-a1f4-90fb282ba4d5,99d50c71-a157-469f-851e-f083527719f1,2024-09-11 13:25:05,ups,Clark-Alexander,6a05e8c6-396b-40f7-b8c2-37eb84b1847c,2024-10-31,2024-11-08
ac480c9e-e894-4366-8285-067bd9625e4e,259ae252-9f21-46de-9179-c73981a7d918,2024-10-06 10:09:53,ups,Silva Ltd,2aab2d92-9400-4e2a-af5f-5d972682af28,2024-11-03,2024-11-08
b5bf9947-b14b-40d9-8312-10df3aac1ce7,2f5b5429-f1e6-45e1-9aa5-9ed7cbd30857,2024-10-08 00:37:16,usps,Nguyen-Holloway,4a4b571b-37c7-4394-a31f-4d65a219d463,2024-10-16,2024-10-29
ae6ddacb-3d31-4b69-b0b4-ee09114060d0,c2680b38-8861-468f-b48e-ec696ba1f8f4,2024-09-19 13:50:39,ups,Vasquez-Mitchell,dd6df0d6-905b-4418-b535-960fe53cf5b4,2024-11-05,2024-10-13
e0325009-f60b-482b-be0b-c32f84053094,4ebb7ede-c6b2-45ad-9ea4-77dbc7f287ea,2024-10-03 12:42:03,in-store pickup,Hubbard-Cook,8a78518c-7c77-4a2d-acba-92eded139888,2024-11-05,2024-11-08
ea53a0de-b5c5-41ad-aba1-3fb36777fe28,9b63abbb-474e-4f78-9c98-f13c540a641e,2024-09-14 03:08:12,fedex,Holland PLC,0a224db4-6ec6-48b4-8885-3902869dda89,2024-10-11,2024-10-28
ef5e0af2-d237-408a-86fd-a021c7e8a5b4,a1395201-7a5c-4f09-8a2b-bc9a91e962ff,2024-09-20 14:34:25,usps,Stout PLC,b4a294a8-341e-49c7-9347-d764c9a43afe,2024-10-23,2024-10-20
274354b0-b35d-48cb-ba34-3877dfd62902,47a697b8-95a4-4265-a9f0-202c5bde5e52,2024-09-28 16:18:00,ship to home,Houston-Curry,aaad36df-8400-4a2e-9d9a-9193b52a2496,2024-10-21,2024-10-26
98bb57f6-435e-47d1-903e-2b22f5197105,650cdea1-df22-4c73-adbe-08999266b90f,2024-09-15 03:06:37,usps,Lawson LLC,960a1711-ed45-4f22-b223-f5f4c0611574,2024-10-14,2024-11-07
2c93c8fe-3c67-4d41-8284-0d797ccf6792,6b29ea60-eae2-47af-a68a-cbdd7c66b0e4,2024-10-02 07:03:03,in-store pickup,White-Gonzales,37914b32-f0db-44de-9ee5-17354e69573a,2024-10-19,2024-10-12
bde297e1-0ca0-472a-a1d6-81f78491adaf,017d7a0d-344a-477d-954d-4bdbc0e87dc1,2024-10-10 19:05:19,in-store pickup,"Miller, Miller and Thompson",caf3dda5-6644-4fa6-967d-405a2621fafc,2024-11-04,2024-10-18
83cfd04b-8f9b-43c0-b2fe-e35040e7688e,1ce82edc-f343-4c10-b66b-80dc3a2863f4,2024-09-11 04:39:29,usps,"Patterson, Davis and Watson",74354e37-2687-477d-a641-380577e66147,2024-10-13,2024-10-16
ce9f8fdb-fa52-4181-83de-1171eee9f91f,b3e04ebe-11d0-4ddb-9392-b2727a0811c6,2024-09-17 11:34:03,fedex,Thomas-Bailey,06626555-9b16-423c-88fc-fccfedfb3a41,2024-10-31,2024-10-21
b063c08f-a6d7-4734-8574-de8b115c435a,75032343-dbb6-43a8-a56c-38198f0c660e,2024-09-29 20:43:40,in-store pickup,Chandler and Sons,4d85bb2c-f28a-4ad8-a9a9-99aadb28cca7,2024-11-01,2024-10-23
c007479a-1ba2-41e2-9bf0-616f34bae4ca,555c6fb1-078c-47e2-a1c8-faf88a4ffc7c,2024-09-30 07:00:39,in-store pickup,Weber Ltd,1758086c-52d1-4b6d-9011-e312789f40d3,2024-10-21,2024-10-30
a983d557-feef-411b-809f-f6a93e6f2134,f8063670-51c1-4c61-89bf-1cb5ef7d1f64,2024-09-29 05:25:23,in-store pickup,Hayes Group,8a24a9d4-1a72-4143-b5c5-c1d6eabdf3c9,2024-10-12,2024-10-20
b3c6ae90-cc7d-4f13-be01-fd597af182ba,01ab10d3-dc2c-4a01-80be-8a621477c1da,2024-09-28 05:47:10,fedex,Adams-Rodriguez,59db1020-4f22-433d-8976-4aaf72fe1d15,2024-10-21,2024-10-18
706d48ac-1a2b-444c-9f00-09076d243065,5fc6cfed-3db4-4a1b-9d44-fa7c78772f49,2024-09-18 10:08:14,ship to home,Pope Inc,d233e5da-8331-4817-9d7b-deb0b9728bfa,2024-10-28,2024-11-03
fcb622ba-3d7c-4b71-98c7-a2b76bd5daf5,34dc9994-fdc3-42f1-892a-5df8cc03506a,2024-09-30 08:01:33,ship to home,Stephens Group,7f980f60-fde4-40a8-b134-0a1d5383d52b,2024-10-11,2024-10-20
0fa5d5cd-be6a-4f01-95d0-1ab0ef443f51,2ecd3002-e45f-401b-b183-610a41ce21a1,2024-09-25 08:41:59,ship to home,Bennett and Sons,058c503d-6bf6-4185-8d3c-2f8ccbbe48ef,2024-10-21,2024-10-15
b564636c-7e90-44f1-89d9-2e7d658ff999,448e9a4c-cea4-4578-983a-5737fff09f80,2024-09-19 06:04:03,in-store pickup,Edwards and Sons,83a34dd0-4af6-4a30-9d44-7225af50babf,2024-10-11,2024-10-29
7a352590-35f9-4283-a3e9-69708c76443b,10f06a75-fcd5-4294-a5bb-e5d4bfc42344,2024-09-29 03:01:00,usps,"Smith, Jefferson and Jones",5cebffa0-4e95-4417-b7c3-a7b90965f9f1,2024-11-08,2024-10-23
499bf550-3af8-4e75-b027-d8d9b5d671ed,cef12cb4-ded2-4f2a-ba19-d08bf532094c,2024-10-03 22:36:19,ship to home,Miller Ltd,061f3a4a-353f-43bb-94ec-4d73b8130586,2024-10-18,2024-10-14
6e5e05f4-db25-4c1b-be72-6e28c289061d,6e83fb9f-f7c5-443a-b686-b39fda2f6e7f,2024-09-30 22:24:37,fedex,Prince-Coffey,f17134cb-2881-47d4-af69-2a606be25e2b,2024-11-07,2024-10-13
d61bad55-0287-4073-8008-1b05b25bd037,76ed1b55-8f7f-4fc3-8763-f208e30d1fd0,2024-10-07 00:52:06,fedex,Mcgee Ltd,d4a797c6-9ca9-4478-be58-40bae627808e,2024-11-01,2024-10-26
a98ba4e7-d406-4ad6-a9d7-e7903d584f17,5f8f9305-57c4-4436-86d8-87017468a3f1,2024-09-16 00:13:34,ship to home,Perkins Group,b9fea7d7-25e4-4d28-8e68-72b19709741a,2024-11-03,2024-11-02
4970f348-5f40-48fb-9a83-1957c3c03632,609a286c-98bf-4807-a2bc-a4281f7b9607,2024-10-05 13:49:50,ship to home,Hicks-Castro,a46b090e-26e8-4291-93e2-3608714037d7,2024-11-01,2024-10-30
