campaign_id,campaign_name,campaign_type,start_date,end_date,target_audience,channel,total_budget,total_spend
1fdea342-8d28-4eab-80a3-5629bf977118,Universal bottom-line Internet solution,Brand,2024-10-02,2024-12-04,Teens,In-Store,59385.57,85157.94
3bfb43a5-0ce9-47ea-a5a9-b360dbb72cda,Intuitive non-volatile migration,Service,2024-09-18,2024-11-19,Men,Online,7093.47,14736.73
17e0f55f-3d2b-4ddf-995a-d18150aa904a,Enterprise-wide system-worthy standardization,Brand,2024-10-16,2024-11-18,Teens,Phone,96600.39,99266.37
b3d12371-ca1d-4c3c-ad30-829686e2dd65,Organized intermediate paradigm,Product,2024-10-11,2024-11-12,Children,Phone,19182.31,43402.2
ebb3123b-4158-41cd-92ff-7292f58c1f64,Distributed optimal process improvement,Product,2024-11-07,2024-12-04,Children,Phone,98985.48,75532.88
60d76de0-f560-400b-929e-922aeecd5157,Persevering transitional capacity,Product,2024-10-25,2024-11-25,Children,Online,54961.1,48537.2
6318d6f8-94dc-42b0-b253-da3ae5897793,De-engineered mobile model,Service,2024-11-07,2024-11-21,Adults,Online,68593.25,55163.2
a5b5c2f5-c96e-4f33-b6e0-78cf0ef01ee1,Pre-emptive maximized process improvement,Brand,2024-10-28,2024-11-13,Adults,Phone,81124.67,91625.15
2fac66a8-1bc0-4aed-af2e-96d29a01fe02,Secured leadingedge capacity,Service,2024-11-06,2024-11-25,Men,Phone,44990.7,96587.95
77bc93c9-1042-4f72-821a-1d8092f9c918,Vision-oriented fresh-thinking database,Product,2024-10-04,2024-11-13,Children,In-Store,89681.8,51255.95
8e3acb42-ceaa-4e15-b62c-617d0d0118b0,Synchronized needs-based installation,Brand,2024-10-02,2024-11-30,Men,In-Store,20655.55,85360.93
9eb704d3-ffc4-472c-a802-ca685c0e1894,Visionary zero tolerance ability,Brand,2024-10-03,2024-11-29,Women,Online,86651.23,44039.46
6d6f4398-addd-451a-8254-315a120e49d8,Visionary regional matrices,Product,2024-11-04,2024-12-08,Teens,Phone,98714.0,63295.8
aa6ecc01-28ef-497f-a8eb-39d822c8be4f,Enhanced 3rdgeneration open architecture,Service,2024-10-15,2024-11-21,Adults,Online,26807.5,3770.19
4fa85347-8bca-4b17-85a8-541ee243474e,Fundamental upward-trending conglomeration,Product,2024-09-26,2024-11-19,Women,In-Store,55957.79,76991.19
c951ec19-27fa-4373-ab42-99b734f554d1,Sharable logistical budgetary management,Product,2024-09-16,2024-12-08,Teens,Online,59269.15,50419.3
3cbbae18-950b-451f-a0c5-fad53f1353ce,Expanded foreground alliance,Product,2024-09-10,2024-12-06,Children,Online,35810.0,88167.38
39d73fae-cf00-4f16-9170-29f776a63913,Innovative full-range protocol,Product,2024-09-29,2024-11-17,Women,Phone,84724.45,83673.56
f3343a8e-4755-45fb-9fcb-f92f377c7442,Focused actuating service-desk,Service,2024-10-21,2024-11-18,Women,Online,47522.17,65093.3
0fe471cd-87c9-459e-8ec8-bc3cf2e0270b,De-engineered responsive intranet,Product,2024-10-20,2024-11-17,Men,Online,25611.9,6107.46
