interaction_id,customer_id,platform,interaction_date,interaction_type,post_id,sentiment
f62ae872-8faa-4f4f-8879-bd6a32ff6f32,9f637a91-4379-4348-b6c8-fe2cd18e7153,linkedin,2024-10-06,comment,f967ece6-3108-45e6-bda4-0e5392f8dc6e,positive
d0b8da3a-5bbe-4e36-8569-96a2235e87cd,bae5db78-7735-4b9f-af0b-9b55bdafa86a,linkedin,2024-09-13,share,7ae349f0-b0ae-48b5-a9f7-ce6d45a4c56a,negative
3fe3f749-c5fb-4a12-8447-e92920058c4f,9c3ecb17-c013-48e6-a0e2-6e633df8172f,facebook,2024-09-26,share,ed5e5221-164b-4642-bdc2-1c1e6e56b243,positive
aef9d4cf-cedd-49db-93c8-78c1bf726560,00767667-7a68-45dd-8f8d-1ad28a2e06ae,facebook,2024-09-14,comment,6fee50a5-f75b-4e86-9fb9-e7071effe9f5,positive
8b7b1b57-fa5e-4f51-8e5e-9adf3912812d,dd0476c2-136c-4b1d-ae58-5364e7b0332a,twitter,2024-09-27,like,a55f3906-9867-4acb-993e-b4be4e989f79,positive
d736dc9c-65eb-487f-b100-58acd110de7c,4eb81895-b0f4-4a5f-91aa-12a6fdbb94cf,twitter,2024-09-10,share,94664dd8-380e-43cc-bbd8-5ee559ddc268,negative
970ed46f-e599-400c-9e48-afca0a3890e4,bbfc2a83-461a-4093-a358-c328ec6bae05,facebook,2024-09-25,comment,75c0693e-8e18-4771-b6e5-2aaddc4a53f7,neutral
91750cda-2744-488b-a9f7-ef02f1f626db,6413546d-3351-4a14-9dc5-4dd2f502b2bd,facebook,2024-09-17,share,c8160d5b-67d6-4af7-9f5f-bff40684c942,negative
e0e86822-f216-4946-b5e3-d31047798662,950b9ddd-cd55-4c6a-9b4d-50a4cde4ef72,instagram,2024-09-14,like,a52c1b14-9793-4c54-b4ff-4f8c9ab06526,neutral
eb3d3b2a-1665-4796-b25a-bd577e5bb77d,1d931527-d108-4e7a-9c13-3183a73eed9b,linkedin,2024-09-18,comment,45b40634-6133-42f6-800a-c78e8b5c9dc4,positive
9b3cd106-3315-49ab-ad03-ad3c357ff46d,f5bf0782-84d5-484a-a7f5-ca53c81b8a0e,twitter,2024-10-02,like,388d5f80-a2cb-4c85-b83e-78698b589534,negative
226479db-f00b-450b-8f9c-a2e437a9b2e2,2e507b26-5dd0-4580-8450-6dc3bbcd6ed6,facebook,2024-09-21,share,6229a4ff-5d9a-4839-9fbc-36cf10c8eb33,positive
0c232e62-0d3f-4de5-8ec5-15b6ded29b72,4ef3e0d7-b00f-4b7f-b983-79e1b7fb1ef5,twitter,2024-09-13,share,a55832fb-8e01-4a1c-a947-3cc8f90e4bd7,neutral
8f27d443-f0ac-46d0-bb92-2824f2ead704,dfce70be-f149-4cc1-a82e-15908dd058b1,facebook,2024-09-12,share,81da6060-5571-4079-9519-4e909d2785f9,neutral
daaf267c-5836-4fe1-8615-71bec5e6c95c,974a5415-be16-442b-8243-6639368694cd,instagram,2024-10-08,comment,f1b16171-b935-4d09-ae3f-8105198c7df9,negative
a1a60484-8aba-4833-b8ac-e343a5265850,03f2d93d-b62b-4732-933e-5ea79b40b976,twitter,2024-09-25,like,e0202ad3-ec74-496e-8742-59f666d879c0,positive
5bb0005a-c653-46c1-990c-354ac99c1715,b5a4bc88-eb1e-435c-bd26-41ee74270711,instagram,2024-09-14,share,3d2f6210-8538-4550-b7eb-a0e518f852b3,positive
cf3133ff-ea78-4ddb-965d-f78adabf7a8f,300855fd-2f82-4413-b2fd-75ebdc8f709a,instagram,2024-10-08,like,87e02f9e-79fc-4072-936a-f4041d4cd920,positive
ea96b639-47ec-46d7-b9b7-a18585b5fd03,793ff505-1e3c-40ae-a613-f3a41b753c58,facebook,2024-09-10,comment,dc60e9b1-30b8-4044-aceb-a5f042ba4bf5,neutral
dbe048a2-63c1-4b0f-8d7c-f76da5e8c4f1,de0fce3b-9f39-4532-a998-0abd7eac1f90,linkedin,2024-09-14,share,cf3df4b0-091b-426c-adda-1d01230f8259,negative
68c477b2-7e7b-4058-ad2d-04ff2114db95,400e8167-2cba-4152-9071-3cf585800566,twitter,2024-09-28,share,a92c2ecd-1696-4cb6-a088-19e49bfa55ed,positive
5f074fca-d11f-4cce-b478-0dfa86819d10,fef59a0f-3758-4c92-b271-addf98680ab8,facebook,2024-09-28,comment,3848a1c7-eecc-434e-95d9-c9c28276d671,neutral
92122050-c7e6-4eca-ac61-0d4d67c33995,729f88ed-f7de-425e-a018-98d7523abd13,instagram,2024-09-19,comment,44bcd781-9f52-426d-9b27-b6de3e108a08,negative
2b779666-dedd-4024-ab4c-74bfdcfc3721,cb29fde5-ac55-492a-b1ae-8a837f09c240,instagram,2024-09-10,share,1cc6ab42-a9ae-450c-b2a0-165be6030ea5,positive
467925aa-703c-4d64-9cfb-9f0459e66370,48412c79-05b5-45e0-94e0-1f165c9ede89,instagram,2024-09-16,like,07db497e-750c-4d16-be7b-bedfaba3dffb,positive
a2a2cee5-2bbc-420f-b49e-386e9826b6e0,f16da0fb-6c6a-4245-a747-7333ad5bbf8a,instagram,2024-09-10,share,bcceb0b3-5aa3-4dd5-a80c-a066fe664cdc,negative
6905e9bb-8fbc-4d82-a5a5-fa045a6bfa17,0e7427e9-74c8-49ef-9a93-a97f183af12d,twitter,2024-09-11,comment,e251c687-86be-48ea-a68f-85cad8e3c890,positive
84c3c71c-b2e8-448a-bec8-401cee609715,14821f87-a2d0-43a7-ac7f-308e7cd3f234,facebook,2024-09-10,comment,cb37c455-8b96-43d1-876f-503e6ee04eb2,positive
09202231-c806-4b4c-97a8-7ead4f755e2b,cd433bae-376f-4b84-9611-215a84afbec8,facebook,2024-09-21,comment,e068fce1-0543-4cf3-acd7-7edd242dc12b,positive
db4d5583-9701-4e72-87f8-880ee38facdf,6ef3338b-2004-4f39-9d09-d04da36807f8,twitter,2024-10-03,like,d4a7f6d2-4cdb-4546-a25c-1580b346886f,negative
713747e1-f5c9-4c66-b4fc-a1813a94c391,d63055f5-0833-4fad-a0b0-b88421d47aee,linkedin,2024-09-18,share,26e9f20b-af4d-40d8-977f-fca5f65a5a15,negative
ea51655b-f024-4bda-9247-06e9136cbf6b,a0caa24f-c9e6-4f2e-b8ae-2fd8c05b1ef8,instagram,2024-10-09,comment,65e3c4a4-8762-4865-b1b9-03596c81ba48,positive
afa58bf6-644d-4c63-83e9-0898d79c96c1,6ec707db-d1e1-41a3-bc15-cf077c88f76f,twitter,2024-09-21,comment,5643b1f6-fc54-4766-b2e4-9ff247609809,negative
9fb3585b-ddbd-4d50-adf9-90f0a53ef59f,3760b9af-f595-4ab0-b544-97d7823c918d,facebook,2024-10-07,like,702aa3e6-765d-45dc-bd1c-7444f1c3b492,negative
e2c5100b-0c9f-4dab-9b29-2449e8593b6d,2b7423b4-f8c4-479c-8300-d58e7c985529,linkedin,2024-09-21,like,e3ffd6fa-5511-4c45-9373-abee49e0ae41,negative
8e9f99a3-d9db-4766-b140-49ab8e29acf8,e3db4cf2-62a4-49d2-ba97-a9b8e696aa87,twitter,2024-10-04,like,15885cd1-0977-4ed9-9cf5-b7254ea5749f,positive
e06be029-29e2-4369-bf6c-2c1e9c7f87d5,cee1002a-7b51-4355-8e11-b76dc40519d3,linkedin,2024-09-25,like,baa3f69c-f6f9-437f-9f38-28002f1ffcfa,negative
94e982cf-0d8c-4d70-b4f6-98de7166744c,35e25467-f189-404e-858c-8f4f67383ceb,instagram,2024-10-04,comment,93b1d50f-8f85-4cbb-942f-3ef37ec68177,positive
86054051-b1ad-4c85-ab8b-c3d7865c5f1d,9fb9d84b-b585-4428-9ec6-bae269cc2772,facebook,2024-10-01,like,b4c1804e-87e4-49e5-9c92-45cb769092cb,neutral
5a1a05fb-155f-4469-94d4-98e7858798ef,4e22858b-1159-4ec1-b611-1e676a84c244,instagram,2024-09-25,share,ffdbece3-6fdd-40ca-9bed-54f5e56032a3,positive
e398368a-282e-4bc5-9a4a-637cfd3fbf9e,0e553e77-ab5c-4913-9150-58e715c1b568,instagram,2024-09-28,like,b6992914-7732-450f-8e5d-158f65ac3cf2,positive
e4aa587e-b1ed-463e-87ea-bdf96752acce,ff7def87-9ca4-4265-bf51-79088e9e5089,facebook,2024-09-13,comment,c2d939eb-38d1-4eeb-b57e-03eb0bd8a140,positive
530ae160-84f3-40cc-8a70-965fcf52f4ef,300855fd-2f82-4413-b2fd-75ebdc8f709a,instagram,2024-10-09,like,4fa224bc-168d-449f-a984-2afef6e63061,negative
c2eaacc0-f1b3-4172-b39b-29a467141cf9,26aa4f96-aebb-4635-8c57-6dfb800436db,linkedin,2024-09-10,share,f0d3cd77-22d9-4c92-bc22-71170cf168f8,neutral
2d93deb3-e086-401d-9f14-05b7b6d4233a,3f73c969-39e3-4e68-bc49-d551f538117c,twitter,2024-09-28,share,3e78651f-90e5-4af4-b6b0-b1d347f45dc7,negative
39d748d8-ac98-4dc7-b5ec-f35e51e652e1,d1fcc1dd-4bbc-45ca-b427-9cb5838522f8,twitter,2024-10-02,like,a3401ed6-6cd3-4897-b732-5bb932030bdf,positive
efb598a1-327e-479b-a66e-da07b1edbe99,2483da6d-ee7b-4758-8e9a-2e3078de83e2,twitter,2024-10-02,like,8369c71c-33a6-41a9-9ae9-6b57ad07ff14,positive
457ec8a7-3dfa-466d-865d-1d213e440e67,241a0d66-5570-4415-9a95-d11b10c38148,twitter,2024-10-05,like,8fd3027f-b3ce-4c63-b4d0-c2326f884a1c,neutral
